date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:58	106293/106293	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/2021/06/crise-da-meia-idade-saiba-como-lidar.html	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/2021/06/crise-da-meia-idade-saiba-como-lidar.html	(from https://brunoperettiblog.blogspot.com/)
12:21:58	96631/96631	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/2021/06/como-emagrecer-depois-dos-30-anos.html	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/2021/06/como-emagrecer-depois-dos-30-anos.html	(from https://brunoperettiblog.blogspot.com/)
12:21:59	95909/95909	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/2021/06/exercicio-na-meia-idade-chega-de-gritar.html	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/2021/06/exercicio-na-meia-idade-chega-de-gritar.html	(from https://brunoperettiblog.blogspot.com/)
12:21:59	93599/93599	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/2021/06/vantagens-do-treino-personalizado.html	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/2021/06/vantagens-do-treino-personalizado.html	(from https://brunoperettiblog.blogspot.com/)
12:22:00	97277/97277	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/2021/06/a-importancia-do-treino-personalizado.html	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/2021/06/a-importancia-do-treino-personalizado.html	(from https://brunoperettiblog.blogspot.com/)
12:22:00	141563/141563	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/search?updated-max=2021-06-28T08:18:00-07:00&max-results=7	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/search1c3f.html	(from https://brunoperettiblog.blogspot.com/)
12:22:00	141410/141410	---M--	200	added ('OK')	text/javascript	date:Mon,%2028%20Jun%202021%2008:51:04%20GMT	https://resources.blogblog.com/blogblog/data/res/2297987710-indie_compiled.js	C:/My%20Web%20Sites/Page/resources.blogblog.com/blogblog/data/res/2297987710-indie_compiled.js	(from https://brunoperettiblog.blogspot.com/)
12:22:01	150551/150551	---M--	200	added ('OK')	text/javascript	date:Wed,%2023%20Jun%202021%2000:55:11%20GMT	https://www.blogger.com/static/v1/widgets/4165186901-widgets.js	C:/My%20Web%20Sites/Page/www.blogger.com/static/v1/widgets/4165186901-widgets.js	(from https://brunoperettiblog.blogspot.com/)
12:22:01	190284/190284	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/2021/06/	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/2021/06/index.html	(from https://brunoperettiblog.blogspot.com/)
12:22:02	1359/1359	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	https://brunoperettiblog.blogspot.com/feeds/7413627858355565731/comments/default	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/feeds/7413627858355565731/comments/default	(from https://brunoperettiblog.blogspot.com/2021/06/4-exercicios-para-tornear-o-bumbum.html)
12:22:03	65543/65543	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Jun%202021%2015:23:17%20GMT	https://brunoperettiblog.blogspot.com/2021/06/https	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/2021/06/https.12.delayed	(from https://brunoperettiblog.blogspot.com/2021/06/4-exercicios-para-tornear-o-bumbum.html)
12:22:03	1/1	---MC-	200	added ('OK')	text/css	date:Mon,%2028%20Jun%202021%2015:23:17%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=679315616144784849&zx=e56a3ebc-554f-46a2-823f-892ca46bd34e	C:/My%20Web%20Sites/Page/www.blogger.com/dyn-css/authorization2619.css	(from https://brunoperettiblog.blogspot.com/2021/06/4-exercicios-para-tornear-o-bumbum.html)
12:22:04	7029/7029	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Sep%202020%2014:14:56%20GMT	https://brunoperetti.com.br/wp-content/uploads/2020/09/exercicios-para-bumbum-7-300x211.jpg	C:/My%20Web%20Sites/Page/brunoperetti.com.br/wp-content/uploads/2020/09/exercicios-para-bumbum-7-300x211.jpg	(from https://brunoperettiblog.blogspot.com/2021/06/4-exercicios-para-tornear-o-bumbum.html)
12:22:05	7165/7165	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Sep%202020%2014:14:46%20GMT	https://brunoperetti.com.br/wp-content/uploads/2020/09/20130712165015-DB_Squat_1-300x169.jpg	C:/My%20Web%20Sites/Page/brunoperetti.com.br/wp-content/uploads/2020/09/20130712165015-DB_Squat_1-300x169.jpg	(from https://brunoperettiblog.blogspot.com/2021/06/4-exercicios-para-tornear-o-bumbum.html)
